Kind,Name,Cyclomatic
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_3).unit",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_4).suffix",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_4).unit",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_5).suffix",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_5).unit",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_6).suffix",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_6).unit",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_7).suffix",1
Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.(Anon_7).unit",1
Abstract Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.suffix",0
Abstract Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.unit",0
Static Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.unitFor",3
Static Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.unitFor",3
Public Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.valueOf",1
Public Method,"org.apache.hadoop.conf.Configuration.ParsedTimeDuration.values",1
Public Constructor,"org.apache.hadoop.conf.Configuration.Resource.Resource",1
Public Constructor,"org.apache.hadoop.conf.Configuration.Resource.Resource",1
Public Method,"org.apache.hadoop.conf.Configuration.Resource.getName",1
Public Method,"org.apache.hadoop.conf.Configuration.Resource.getResource",1
Public Method,"org.apache.hadoop.conf.Configuration.Resource.toString",1
Public Static Method,"org.apache.hadoop.conf.Configuration.addDefaultResource",4
Public Static Method,"org.apache.hadoop.conf.Configuration.addDeprecation",1
Public Static Method,"org.apache.hadoop.conf.Configuration.addDeprecation",1
Public Static Method,"org.apache.hadoop.conf.Configuration.addDeprecation",1
Public Static Method,"org.apache.hadoop.conf.Configuration.addDeprecation",1
Public Static Method,"org.apache.hadoop.conf.Configuration.addDeprecations",2
Public Method,"org.apache.hadoop.conf.Configuration.addResource",1
Public Method,"org.apache.hadoop.conf.Configuration.addResource",1
Public Method,"org.apache.hadoop.conf.Configuration.addResource",1
Public Method,"org.apache.hadoop.conf.Configuration.addResource",1
Public Method,"org.apache.hadoop.conf.Configuration.addResource",1
Public Method,"org.apache.hadoop.conf.Configuration.addResource",1
Private Method,"org.apache.hadoop.conf.Configuration.addResourceObject",1
Private Static Method,"org.apache.hadoop.conf.Configuration.appendJSONProperty",4
Private Method,"org.apache.hadoop.conf.Configuration.appendXMLProperty",6
Private Method,"org.apache.hadoop.conf.Configuration.asXmlDocument",5
Private Method,"org.apache.hadoop.conf.Configuration.checkForOverride",2
Public Method,"org.apache.hadoop.conf.Configuration.clear",1
Public Static Method,"org.apache.hadoop.conf.Configuration.dumpConfiguration",3
Public Static Method,"org.apache.hadoop.conf.Configuration.dumpConfiguration",2
Public Static Method,"org.apache.hadoop.conf.Configuration.dumpDeprecatedKeys",3
Private Static Method,"org.apache.hadoop.conf.Configuration.findSubVariable",8
Public Method,"org.apache.hadoop.conf.Configuration.get",2
Public Method,"org.apache.hadoop.conf.Configuration.get",2
Public Method,"org.apache.hadoop.conf.Configuration.getAllPropertiesByTag",2
Public Method,"org.apache.hadoop.conf.Configuration.getAllPropertiesByTags",2
Private Method,"org.apache.hadoop.conf.Configuration.getAlternativeNames",4
Public Method,"org.apache.hadoop.conf.Configuration.getBoolean",4
Public Method,"org.apache.hadoop.conf.Configuration.getClass",3
Public Generic Method,"org.apache.hadoop.conf.Configuration.getClass",4
Public Method,"org.apache.hadoop.conf.Configuration.getClassByName",2
Public Method,"org.apache.hadoop.conf.Configuration.getClassByNameOrNull",6
Public Method,"org.apache.hadoop.conf.Configuration.getClassLoader",1
Public Method,"org.apache.hadoop.conf.Configuration.getClasses",4
Public Method,"org.apache.hadoop.conf.Configuration.getConfResourceAsInputStream",3
Public Method,"org.apache.hadoop.conf.Configuration.getConfResourceAsReader",3
Private Method,"org.apache.hadoop.conf.Configuration.getCredentialEntry",7
Private Static Method,"org.apache.hadoop.conf.Configuration.getDeprecatedKey",1
Private Static Method,"org.apache.hadoop.conf.Configuration.getDeprecatedKeyInfo",1
Public Method,"org.apache.hadoop.conf.Configuration.getDouble",2
Public Generic Method,"org.apache.hadoop.conf.Configuration.getEnum",2
Public Method,"org.apache.hadoop.conf.Configuration.getFile",3
Public Method,"org.apache.hadoop.conf.Configuration.getFinalParameters",1
Public Method,"org.apache.hadoop.conf.Configuration.getFloat",2
Private Method,"org.apache.hadoop.conf.Configuration.getHexDigits",4
Public Generic Method,"org.apache.hadoop.conf.Configuration.getInstances",3
Public Method,"org.apache.hadoop.conf.Configuration.getInt",3
Public Method,"org.apache.hadoop.conf.Configuration.getInts",2
Public Method,"org.apache.hadoop.conf.Configuration.getLocalPath",4
Public Method,"org.apache.hadoop.conf.Configuration.getLong",3
Public Method,"org.apache.hadoop.conf.Configuration.getLongBytes",2
Private Method,"org.apache.hadoop.conf.Configuration.getOverlay",2
Public Method,"org.apache.hadoop.conf.Configuration.getPassword",2
Protected Method,"org.apache.hadoop.conf.Configuration.getPasswordFromConfig",3
Protected Method,"org.apache.hadoop.conf.Configuration.getPasswordFromCredentialProviders",6
Public Method,"org.apache.hadoop.conf.Configuration.getPattern",3
Method,"org.apache.hadoop.conf.Configuration.getProperty",1
Public Method,"org.apache.hadoop.conf.Configuration.getPropertySources",4
Private Method,"org.apache.hadoop.conf.Configuration.getPropertyTag",2
Protected Method,"org.apache.hadoop.conf.Configuration.getProps",7
Public Method,"org.apache.hadoop.conf.Configuration.getPropsWithPrefix",3
Method,"org.apache.hadoop.conf.Configuration.getQuietMode",1
Public Method,"org.apache.hadoop.conf.Configuration.getRange",1
Public Method,"org.apache.hadoop.conf.Configuration.getRaw",2
Public Method,"org.apache.hadoop.conf.Configuration.getResource",1
Public Method,"org.apache.hadoop.conf.Configuration.getSocketAddr",2
Public Method,"org.apache.hadoop.conf.Configuration.getSocketAddr",1
Public Method,"org.apache.hadoop.conf.Configuration.getStringCollection",1
Public Method,"org.apache.hadoop.conf.Configuration.getStrings",2
Public Method,"org.apache.hadoop.conf.Configuration.getStrings",1
Public Method,"org.apache.hadoop.conf.Configuration.getTimeDuration",2
Public Method,"org.apache.hadoop.conf.Configuration.getTimeDuration",2
Public Method,"org.apache.hadoop.conf.Configuration.getTimeDurationHelper",3
Public Method,"org.apache.hadoop.conf.Configuration.getTimeDurations",2
Public Method,"org.apache.hadoop.conf.Configuration.getTrimmed",2
Public Method,"org.apache.hadoop.conf.Configuration.getTrimmed",2
Public Method,"org.apache.hadoop.conf.Configuration.getTrimmedStringCollection",2
Public Method,"org.apache.hadoop.conf.Configuration.getTrimmedStrings",2
Public Method,"org.apache.hadoop.conf.Configuration.getTrimmedStrings",1
Public Method,"org.apache.hadoop.conf.Configuration.getValByRegex",4
Method,"org.apache.hadoop.conf.Configuration.getenv",1
Private Method,"org.apache.hadoop.conf.Configuration.handleDeprecation",8
Private Method,"org.apache.hadoop.conf.Configuration.handleDeprecation",2
Public Static Method,"org.apache.hadoop.conf.Configuration.hasWarnedDeprecation",3
Public Static Method,"org.apache.hadoop.conf.Configuration.isDeprecated",1
Public Method,"org.apache.hadoop.conf.Configuration.iterator",3
Private Method,"org.apache.hadoop.conf.Configuration.loadProperty",7
Private Method,"org.apache.hadoop.conf.Configuration.loadResource",56
Private Method,"org.apache.hadoop.conf.Configuration.loadResources",5
Method,"org.apache.hadoop.conf.Configuration.logDeprecation",1
Method,"org.apache.hadoop.conf.Configuration.logDeprecationOnce",2
Public Static Method,"org.apache.hadoop.conf.Configuration.main",1
Public Method,"org.apache.hadoop.conf.Configuration.onlyKeyExists",3
Private Method,"org.apache.hadoop.conf.Configuration.overlay",2
Private Method,"org.apache.hadoop.conf.Configuration.parse",5
Private Method,"org.apache.hadoop.conf.Configuration.parse",3
Private Method,"org.apache.hadoop.conf.Configuration.putIntoUpdatingResource",3
Public Method,"org.apache.hadoop.conf.Configuration.readFields",3
Private Method,"org.apache.hadoop.conf.Configuration.readTagFromConfig",9
Public Method,"org.apache.hadoop.conf.Configuration.reloadConfiguration",1
Public Static Method,"org.apache.hadoop.conf.Configuration.reloadExistingConfigurations",3
Public Method,"org.apache.hadoop.conf.Configuration.set",1
Public Method,"org.apache.hadoop.conf.Configuration.set",8
Public Method,"org.apache.hadoop.conf.Configuration.setAllowNullValueProperties",1
Public Method,"org.apache.hadoop.conf.Configuration.setBoolean",1
Public Method,"org.apache.hadoop.conf.Configuration.setBooleanIfUnset",1
Public Method,"org.apache.hadoop.conf.Configuration.setClass",2
Public Method,"org.apache.hadoop.conf.Configuration.setClassLoader",1
Public Method,"org.apache.hadoop.conf.Configuration.setDeprecatedProperties",5
Public Method,"org.apache.hadoop.conf.Configuration.setDouble",1
Public Generic Method,"org.apache.hadoop.conf.Configuration.setEnum",1
Public Method,"org.apache.hadoop.conf.Configuration.setFloat",1
Public Method,"org.apache.hadoop.conf.Configuration.setIfUnset",2
Public Method,"org.apache.hadoop.conf.Configuration.setInt",1
Public Method,"org.apache.hadoop.conf.Configuration.setLong",1
Public Method,"org.apache.hadoop.conf.Configuration.setPattern",1
Public Method,"org.apache.hadoop.conf.Configuration.setQuietMode",1
Public Method,"org.apache.hadoop.conf.Configuration.setSocketAddr",1
Public Method,"org.apache.hadoop.conf.Configuration.setStrings",1
Public Method,"org.apache.hadoop.conf.Configuration.setTimeDuration",1
Public Method,"org.apache.hadoop.conf.Configuration.size",1
Private Method,"org.apache.hadoop.conf.Configuration.substituteVars",15
Public Method,"org.apache.hadoop.conf.Configuration.toString",3
Private Generic Method,"org.apache.hadoop.conf.Configuration.toString",3
Public Method,"org.apache.hadoop.conf.Configuration.unset",4
Public Method,"org.apache.hadoop.conf.Configuration.updateConnectAddr",2
Public Method,"org.apache.hadoop.conf.Configuration.updateConnectAddr",1
Public Method,"org.apache.hadoop.conf.Configuration.write",3
Public Method,"org.apache.hadoop.conf.Configuration.writeXml",1
Public Method,"org.apache.hadoop.conf.Configuration.writeXml",1
Public Method,"org.apache.hadoop.conf.Configuration.writeXml",2
Public Constructor,"org.apache.hadoop.conf.ConfigurationWithLogging.ConfigurationWithLogging",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.get",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.get",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.getBoolean",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.getFloat",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.getInt",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.getLong",1
Public Method,"org.apache.hadoop.conf.ConfigurationWithLogging.set",2
Public Constructor,"org.apache.hadoop.conf.Configured.Configured",1
Public Constructor,"org.apache.hadoop.conf.Configured.Configured",1
Public Method,"org.apache.hadoop.conf.Configured.getConf",1
Public Method,"org.apache.hadoop.conf.Configured.setConf",1
Public Method,"org.apache.hadoop.conf.CorePropertyTag.valueOf",1
Public Method,"org.apache.hadoop.conf.CorePropertyTag.values",1
Public Method,"org.apache.hadoop.conf.HDFSPropertyTag.valueOf",1
Public Method,"org.apache.hadoop.conf.HDFSPropertyTag.values",1
Abstract Method,"org.apache.hadoop.conf.Reconfigurable.getReconfigurableProperties",0
Abstract Method,"org.apache.hadoop.conf.Reconfigurable.isPropertyReconfigurable",0
Abstract Method,"org.apache.hadoop.conf.Reconfigurable.reconfigureProperty",0
Public Constructor,"org.apache.hadoop.conf.ReconfigurableBase.ReconfigurableBase",1
Public Constructor,"org.apache.hadoop.conf.ReconfigurableBase.ReconfigurableBase",2
Constructor,"org.apache.hadoop.conf.ReconfigurableBase.ReconfigurationThread.ReconfigurationThread",1
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.ReconfigurationThread.run",7
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.getChangedProperties",1
Protected Abstract Method,"org.apache.hadoop.conf.ReconfigurableBase.getNewConf",0
Public Abstract Method,"org.apache.hadoop.conf.ReconfigurableBase.getReconfigurableProperties",0
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.getReconfigurationTaskStatus",2
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.isPropertyReconfigurable",1
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.reconfigureProperty",3
Protected Abstract Method,"org.apache.hadoop.conf.ReconfigurableBase.reconfigurePropertyImpl",0
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.setReconfigurationUtil",1
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.shutdownReconfigurationTask",3
Public Method,"org.apache.hadoop.conf.ReconfigurableBase.startReconfigurationTask",3
Public Constructor,"org.apache.hadoop.conf.ReconfigurationException.ReconfigurationException",1
Public Constructor,"org.apache.hadoop.conf.ReconfigurationException.ReconfigurationException",1
Public Constructor,"org.apache.hadoop.conf.ReconfigurationException.ReconfigurationException",1
Private Static Method,"org.apache.hadoop.conf.ReconfigurationException.constructMessage",3
Public Method,"org.apache.hadoop.conf.ReconfigurationException.getNewValue",1
Public Method,"org.apache.hadoop.conf.ReconfigurationException.getOldValue",1
Public Method,"org.apache.hadoop.conf.ReconfigurationException.getProperty",1
Private Method,"org.apache.hadoop.conf.ReconfigurationServlet.applyChanges",7
Protected Method,"org.apache.hadoop.conf.ReconfigurationServlet.doGet",1
Protected Method,"org.apache.hadoop.conf.ReconfigurationServlet.doPost",2
Private Method,"org.apache.hadoop.conf.ReconfigurationServlet.getParams",1
Private Method,"org.apache.hadoop.conf.ReconfigurationServlet.getReconfigurable",1
Public Method,"org.apache.hadoop.conf.ReconfigurationServlet.init",1
Private Method,"org.apache.hadoop.conf.ReconfigurationServlet.printConf",6
Private Method,"org.apache.hadoop.conf.ReconfigurationServlet.printFooter",1
Private Method,"org.apache.hadoop.conf.ReconfigurationServlet.printHeader",1
Public Constructor,"org.apache.hadoop.conf.ReconfigurationTaskStatus.ReconfigurationTaskStatus",1
Public Method,"org.apache.hadoop.conf.ReconfigurationTaskStatus.getEndTime",1
Public Method,"org.apache.hadoop.conf.ReconfigurationTaskStatus.getStartTime",1
Public Method,"org.apache.hadoop.conf.ReconfigurationTaskStatus.getStatus",1
Public Method,"org.apache.hadoop.conf.ReconfigurationTaskStatus.hasTask",1
Public Method,"org.apache.hadoop.conf.ReconfigurationTaskStatus.stopped",1
Public Constructor,"org.apache.hadoop.conf.ReconfigurationUtil.PropertyChange.PropertyChange",1
Public Static Method,"org.apache.hadoop.conf.ReconfigurationUtil.getChangedProperties",5
Public Method,"org.apache.hadoop.conf.ReconfigurationUtil.parseChangedProperties",1
Public Method,"org.apache.hadoop.conf.YarnPropertyTag.valueOf",1
Public Method,"org.apache.hadoop.conf.YarnPropertyTag.values",1
Public Method,"org.apache.hadoop.crypto.AesCtrCryptoCodec.calculateIV",3
Public Method,"org.apache.hadoop.crypto.AesCtrCryptoCodec.close",1
Public Method,"org.apache.hadoop.crypto.AesCtrCryptoCodec.getCipherSuite",1
Public Constructor,"org.apache.hadoop.crypto.CipherOption.CipherOption",1
Public Constructor,"org.apache.hadoop.crypto.CipherOption.CipherOption",1
Public Method,"org.apache.hadoop.crypto.CipherOption.getCipherSuite",1
Public Method,"org.apache.hadoop.crypto.CipherOption.getInIv",1
Public Method,"org.apache.hadoop.crypto.CipherOption.getInKey",1
Public Method,"org.apache.hadoop.crypto.CipherOption.getOutIv",1
Public Method,"org.apache.hadoop.crypto.CipherOption.getOutKey",1
Constructor,"org.apache.hadoop.crypto.CipherSuite.CipherSuite",1
Public Static Method,"org.apache.hadoop.crypto.CipherSuite.convert",3
Public Method,"org.apache.hadoop.crypto.CipherSuite.getAlgorithmBlockSize",1
Public Method,"org.apache.hadoop.crypto.CipherSuite.getConfigSuffix",2
Public Method,"org.apache.hadoop.crypto.CipherSuite.getName",1
Public Method,"org.apache.hadoop.crypto.CipherSuite.getUnknownValue",1
Public Method,"org.apache.hadoop.crypto.CipherSuite.setUnknownValue",1
Public Method,"org.apache.hadoop.crypto.CipherSuite.toString",2
Public Method,"org.apache.hadoop.crypto.CipherSuite.valueOf",1
Public Method,"org.apache.hadoop.crypto.CipherSuite.values",1
Public Abstract Method,"org.apache.hadoop.crypto.CryptoCodec.calculateIV",0
Public Abstract Method,"org.apache.hadoop.crypto.CryptoCodec.createDecryptor",0
Public Abstract Method,"org.apache.hadoop.crypto.CryptoCodec.createEncryptor",0
Public Abstract Method,"org.apache.hadoop.crypto.CryptoCodec.generateSecureRandom",0
Public Abstract Method,"org.apache.hadoop.crypto.CryptoCodec.getCipherSuite",0
Private Static Method,"org.apache.hadoop.crypto.CryptoCodec.getCodecClasses",6
Public Static Method,"org.apache.hadoop.crypto.CryptoCodec.getInstance",1
Public Static Method,"org.apache.hadoop.crypto.CryptoCodec.getInstance",6
Public Constructor,"org.apache.hadoop.crypto.CryptoInputStream.CryptoInputStream",1
Public Constructor,"org.apache.hadoop.crypto.CryptoInputStream.CryptoInputStream",1
Public Constructor,"org.apache.hadoop.crypto.CryptoInputStream.CryptoInputStream",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.afterDecryption",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.available",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.checkStream",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.cleanBufferPool",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.close",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.decrypt",3
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.decrypt",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.decrypt",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.freeBuffers",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.getBuffer",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.getCounter",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.getDecryptor",3
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.getFileDescriptor",3
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.getPadding",1
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.getPos",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.getTmpBuf",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.getWrappedStream",1
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.isOpen",1
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.mark",1
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.markSupported",1
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.read",13
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.read",3
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.read",11
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.read",5
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.read",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.readFromUnderlyingStream",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.readFully",3
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.readFully",1
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.releaseBuffer",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.reset",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.resetStreamOffset",1
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.returnBuffer",2
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.returnDecryptor",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.seek",5
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.seekToNewSource",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.setDropBehind",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.setReadahead",2
Public Method,"org.apache.hadoop.crypto.CryptoInputStream.skip",4
Private Method,"org.apache.hadoop.crypto.CryptoInputStream.updateDecryptor",1
Public Constructor,"org.apache.hadoop.crypto.CryptoOutputStream.CryptoOutputStream",1
Public Constructor,"org.apache.hadoop.crypto.CryptoOutputStream.CryptoOutputStream",1
Public Constructor,"org.apache.hadoop.crypto.CryptoOutputStream.CryptoOutputStream",2
Public Constructor,"org.apache.hadoop.crypto.CryptoOutputStream.CryptoOutputStream",1
Public Constructor,"org.apache.hadoop.crypto.CryptoOutputStream.CryptoOutputStream",1
Public Constructor,"org.apache.hadoop.crypto.CryptoOutputStream.CryptoOutputStream",1
Private Method,"org.apache.hadoop.crypto.CryptoOutputStream.checkStream",2
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.close",3
Private Method,"org.apache.hadoop.crypto.CryptoOutputStream.encrypt",4
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.flush",2
Private Method,"org.apache.hadoop.crypto.CryptoOutputStream.freeBuffers",1
Private Method,"org.apache.hadoop.crypto.CryptoOutputStream.getTmpBuf",2
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.getWrappedStream",1
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.hflush",2
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.hsync",2
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.setDropBehind",2
Private Method,"org.apache.hadoop.crypto.CryptoOutputStream.updateEncryptor",1
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.write",5
Public Method,"org.apache.hadoop.crypto.CryptoOutputStream.write",1
Constructor,"org.apache.hadoop.crypto.CryptoProtocolVersion.CryptoProtocolVersion",1
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.getDescription",1
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.getUnknownValue",1
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.getVersion",1
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.setUnknownValue",1
Public Static Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.supported",1
Public Static Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.supports",4
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.toString",1
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.valueOf",1
Public Method,"org.apache.hadoop.crypto.CryptoProtocolVersion.values",1
Public Static Method,"org.apache.hadoop.crypto.CryptoStreamUtils.checkBufferSize",1
Public Static Method,"org.apache.hadoop.crypto.CryptoStreamUtils.checkCodec",2
Public Static Method,"org.apache.hadoop.crypto.CryptoStreamUtils.freeDB",2
Public Static Method,"org.apache.hadoop.crypto.CryptoStreamUtils.getBufferSize",1
Public Static Method,"org.apache.hadoop.crypto.CryptoStreamUtils.getInputStreamOffset",2
Public Abstract Method,"org.apache.hadoop.crypto.Decryptor.decrypt",0
Public Abstract Method,"org.apache.hadoop.crypto.Decryptor.init",0
Public Abstract Method,"org.apache.hadoop.crypto.Decryptor.isContextReset",0
Public Abstract Method,"org.apache.hadoop.crypto.Encryptor.encrypt",0
Public Abstract Method,"org.apache.hadoop.crypto.Encryptor.init",0
Public Abstract Method,"org.apache.hadoop.crypto.Encryptor.isContextReset",0
Public Constructor,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCipher.JceAesCtrCipher",2
Public Method,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCipher.decrypt",1
Public Method,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCipher.encrypt",1
Public Method,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCipher.init",2
Public Method,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCipher.isContextReset",1
Private Method,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCipher.process",3
Public Constructor,"org.apache.hadoop.crypto.JceAesCtrCryptoCodec.JceAesCtrCryptoCodec",1
